Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.397544333333364,Invalid
TST-0006,19.157111000000018,Valid
TST-0047,53.208862000000025,Valid
TST-0311,25.528105388888864,Valid
TST-0264,18.511389833333325,Invalid
TST-0169,19.190111999999967,Valid
TST-0269,18.31396233333332,Valid
TST-0178,15.93942933333334,Invalid
TST-0206,31.570731249999973,Valid
TST-0038,17.977516199999993,Valid
TST-0213,14.01215199999999,Invalid
TST-0309,16.286822999999984,Valid
TST-0059,32.99498733333333,Valid
TST-0159,18.358767777777757,Valid
TST-0235,19.96797866666668,Valid
TST-0230,20.816722000000013,Valid
TST-0323,35.63551199999992,Valid
TST-0262,18.83498566666667,Valid
TST-0274,14.31182966666667,Valid
TST-0214,48.53416999999983,Valid
TST-0024,39.49701533333335,Valid
TST-0234,17.56774833333333,Valid
TST-0333,21.78037733333332,Valid
TST-0060,20.159440666666683,Valid
TST-0226,35.994550333333336,Valid
TST-0197,16.173606249999974,Valid
TST-0346,42.00370333333337,Valid
TST-0192,25.1821926666667,Valid
TST-0141,29.33914684761905,Valid
TST-0222,38.78515500000004,Invalid
TST-0232,19.29460766666668,Valid
TST-0085,23.617867333333376,Valid
TST-0237,33.157986999999984,Valid
TST-0001,36.98222966666666,Valid
TST-0069,16.537773833333322,Valid
TST-0272,22.917995999999995,Valid
TST-0343,35.35497283333336,Valid
TST-0320,26.791838666666674,Valid
TST-0008,30.689347666666652,Invalid
TST-0144,22.453972666666647,Valid
TST-0184,21.670412000000038,Valid
TST-0107,52.027330333333346,Valid
TST-0026,41.98365633333335,Valid
TST-0164,42.42057144444454,Valid
TST-0217,34.309946000000046,Valid
TST-0332,26.27983288888883,Invalid
TST-0279,24.236014333333383,Valid
TST-0243,18.584131000000017,Valid
TST-0163,20.136897666666655,Valid
TST-0131,30.020861083333322,Valid
TST-0070,16.436822499999998,Valid
TST-0137,18.43840622222219,Valid
TST-0210,29.697311299999996,Valid
TST-0288,21.124588333333325,Valid
TST-0248,18.909548500000007,Valid
TST-0277,22.931473333333372,Invalid
TST-0215,21.936763666666625,Valid
TST-0138,16.502130833333347,Valid
TST-0228,17.370191666666663,Valid
TST-0252,49.80424299999993,Valid
